Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Gls/90,Ast,Ast/90,G+A,G+A/90,xG,xG/90,xAG,xAG/90,npxG,npxG/90,G-PK,G-PK/90,Tkl,Tkl/90,TklW,TklW/90,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks/90,Int,Int/90,Tkl+Int,Tkl+Int/90,Clr,Clr/90,Err,Err/90,DefAct,DefAct/90,PrgP,PrgP/90,PrgC,PrgC/90,KP,KP/90,Cmp%,Cmp%/90,SCA,SCA/90,Ast_stats_passing,Ast_stats_passing/90,xA,xA/90,PPA,PPA/90,GA,GA/90,Saves,Saves/90,Save%,Save%/90,CS,CS/90,CS%,CS%/90,PKA,PKA/90,PKsv,PKsv/90,Touches,Touches/90,Carries,Carries/90,PrgR,PrgR/90,Mis,Mis/90,Dis,Dis/90,CrdY,CrdY/90,CrdR,CrdR/90,PKwon,PKwon/90,PKcon,PKcon/90,Recov,Recov/90
1,Max Aarons,ENG,DF,Bournemouth,Premier League,24,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.093023256,2,2.093023256,1,1,0,3,3.139534884,1,1.046511628,3,3.139534884,0,0,0,0,6,6.279069767,8,8.372093023,1,1.046511628,0,0,79.4,83.09302326,2,2.093023256,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,73,76.39534884,41,42.90697674,3,3.139534884,1,1.046511628,0,0,0,0,0,0,0,0,0,0,7,7.325581395
2,Max Aarons,ENG,"DF,MF",Valencia,La Liga,24,4,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,2,2,0,1,0.75,0,0,4,3,3,2.25,0,0,5,3.75,6,4.5,0,0,1,0.75,71.2,53.4,1,0.75,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,85,63.75,46,34.5,10,7.5,3,2.25,1,0.75,2,1.5,0,0,0,0,0,0,7,5.25
3,Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,1,1,65,0.7,0,0,0,0,0,0,0.1,0.1384615385,0,0,0.1,0.1384615385,0,0,3,4.153846154,2,2.769230769,2,1,0,1,1.384615385,1,1.384615385,4,5.538461538,0,0,0,0,5,6.923076923,2,2.769230769,3,4.153846154,0,0,58.6,81.13846154,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,36,49.84615385,13,18,3,4.153846154,0,0,2,2.769230769,1,1.384615385,0,0,0,0,0,0,2,2.769230769
4,James Abankwah,IRL,"DF,MF",Udinese,Serie A,20,6,0,88,1,0,0,0,0,0,0,0.1,0.1022727273,0,0,0.1,0.1022727273,0,0,4,4.090909091,2,2.045454545,4,0,0,2,2.045454545,1,1.022727273,5,5.113636364,3,3.068181818,0,0,7,7.159090909,4,4.090909091,3,3.068181818,0,0,78.3,80.07954545,1,1.022727273,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,65,66.47727273,29,29.65909091,1,1.022727273,1,1.022727273,3,3.068181818,1,1.022727273,0,0,0,0,0,0,7,7.159090909
5,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,30,1,0,0,0,0,0,0,1,30,0,0,0,0,1,30,0,0,1,30,0,0,100,3000,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,4,120,1,30,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
6,Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36,16,11,1033,11.5,0,0,0,0,0,0,0.2,0.0174249758,0.1,0.008712487899,0.2,0.0174249758,0,0,17,1.481122943,11,0.9583736689,15,2,0,26,2.265246854,14,1.219748306,31,2.700871249,57,4.966118103,1,0.08712487899,56,4.878993224,22,1.916747338,4,0.348499516,2,0.174249758,86.7,7.553727009,6,0.522749274,0,0,0.3,0.0261374637,0,0,,0,,0,,0,,0,,0,,0,,0,641,55.84704743,322,28.05421104,3,0.261374637,8,0.6969990319,3,0.261374637,2,0.174249758,0,0,0,0,0,0,42,3.659244918
7,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24,32,32,2842,31.6,6,0.1900070373,1,0.03166783955,7,0.2216748768,6.4,0.2026741731,3.2,0.1013370866,3.2,0.1013370866,3,0.09500351865,48,1.520056298,32,1.013370866,13,20,15,24,0.7600281492,26,0.8233638283,74,2.343420127,28,0.8866995074,2,0.0633356791,96,3.040112597,207,6.555242787,107,3.388458832,39,1.235045742,82.1,2.599929627,94,2.976776918,1,0.03166783955,3.7,0.1171710063,38,1.203377903,,0,,0,,0,,0,,0,,0,,0,1993,63.11400422,1183,37.46305419,111,3.51513019,55,1.741731175,51,1.615059817,4,0.1266713582,0,0,0,0,0,0,193,6.111893033
8,Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,12,10,855,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2.210526316,14,1.473684211,12,6,3,11,1.157894737,15,1.578947368,36,3.789473684,56,5.894736842,1,0.1052631579,46,4.842105263,52,5.473684211,6,0.6315789474,0,0,90.4,9.515789474,8,0.8421052632,0,0,0.2,0.02105263158,1,0.1052631579,,0,,0,,0,,0,,0,,0,,0,635,66.84210526,342,36,5,0.5263157895,4,0.4210526316,3,0.3157894737,2,0.2105263158,0,0,0,0,0,0,50,5.263157895
9,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30,25,17,1393,15.5,5,0.3230437904,2,0.1292175162,7,0.4522613065,4.3,0.2778176597,1.9,0.1227566403,4.3,0.2778176597,5,0.3230437904,43,2.778176597,25,1.615218952,18,14,11,20,1.292175162,20,1.292175162,63,4.070351759,37,2.390524049,0,0,83,5.36252692,42,2.713567839,35,2.261306533,20,1.292175162,74,4.781048098,45,2.907394113,2,0.1292175162,1.7,0.1098348887,21,1.35678392,,0,,0,,0,,0,,0,,0,,0,886,57.24335966,391,25.26202441,101,6.525484566,32,2.067480258,14,0.9045226131,2,0.1292175162,0,0,0,0,0,0,72,4.651830581
10,Saud Abdulhamid,KSA,DF,Roma,Serie A,25,4,2,205,2.3,0,0,1,0.4390243902,1,0.4390243902,0,0,0.2,0.08780487805,0,0,0,0,3,1.317073171,2,0.8780487805,2,0,1,2,0.8780487805,2,0.8780487805,5,2.195121951,0,0,0,0,7,3.073170732,9,3.951219512,6,2.634146341,2,0.8780487805,86.8,38.10731707,6,2.634146341,1,0.4390243902,0.2,0.08780487805,4,1.756097561,,0,,0,,0,,0,,0,,0,,0,157,68.92682927,90,39.51219512,26,11.41463415,5,2.195121951,1,0.4390243902,0,0,0,0,0,0,1,0.4390243902,3,1.317073171
11,Abel,ESP,DF,Osasuna,La Liga,23,35,20,2074,23,2,0.08678881389,0,0,2,0.08678881389,0.5,0.02169720347,1,0.04339440694,0.5,0.02169720347,2,0.08678881389,61,2.647058824,37,1.605593057,28,25,8,29,1.258437801,18,0.781099325,79,3.428158149,64,2.777242044,2,0.08678881389,106,4.599807136,77,3.341369335,50,2.169720347,16,0.6943105111,72.5,3.146094503,39,1.692381871,0,0,1.5,0.06509161041,18,0.781099325,,0,,0,,0,,0,,0,,0,,0,1322,57.36740598,605,26.2536162,92,3.992285439,27,1.171648987,18,0.781099325,3,0.1301832208,0,0,0,0,1,0.04339440694,106,4.599807136
